,Name,Rating
131,Lionel Messi,11.275429672228029
130,Kylian Mbappé,10.832103581275028
91,Antoine Griezmann,10.217355346659192
92,Erling Haaland,8.149155328679424
116,Robert Lewandowski,7.964379408839555
114,Alexandre Lacazette,7.810769126304602
166,Victor Osimhen,7.214003038340933
125,Lautaro Martínez,7.195831793808259
101,Gabriel Jesus,7.0956616729652415
109,Harry Kane,6.8885057186607455
26,Karim Benzema,6.720346713129624
81,Roberto Firmino,6.6942869842607795
146,Thomas Müller,6.504351029239039
156,Christopher Nkunku,6.4997719231224655
113,Randal Kolo Muani,6.406785108437015
55,Jonathan David,6.208419027445511
164,Loïs Openda,6.173530339469284
220,Marcus Thuram,6.085514320523249
61,Gerard Deulofeu,5.974658778127684
62,Ángel Di María,5.815772608951432
25,Wissam Ben Yedder,5.7675213913448955
195,Alexis Sánchez,5.731199266498784
159,Darwin Núñez,5.719650656733005
233,Elye Wahi,5.422857601833547
12,Iago Aspas,5.4170027813827515
69,Marvin Ducksch,5.3992902823613615
147,Luis Muriel,5.397647925148377
235,Ollie Watkins,5.323011456213633
64,Habib Diallo,5.287851977714896
98,Nicolas Jackson,5.258092580592376
46,Ángel Correa,5.2518159378653255
119,Romelu Lukaku,5.246875610511653
17,Folarin Balogun,5.244522785364431
240,Iñaki Williams,5.241818833204275
141,Gerard Moreno,5.210358963611733
83,Niclas Füllkrug,5.169105150582816
223,Ivan Toney,5.129539774606942
239,Timo Werner,5.117153099344338
63,Boulaye Dia,5.095934787689388
19,Christoph Baumgartner,5.015007972103435
32,Lucas Boyé,4.940479071759556
217,Mathys Tel,4.935724878720734
75,Breel Embolo,4.925265531448289
36,Nicolò Cambiaghi,4.9226088369346375
86,Cody Gakpo,4.862278337548425
241,Callum Wilson,4.844932178507326
93,Kai Havertz,4.753306273106032
21,Sheraldo Becker,4.646508968163691
238,Danny Welbeck,4.611511943205921
188,Rodrigo,4.587562888443458
7,Julián Álvarez,4.5819593417669475
193,Mama Samba Baldé,4.581935436970043
207,Giovanni Simeone,4.5631988824265495
97,Kelechi Iheanacho,4.5050665443678675
96,Rasmus Højlund,4.49934618938946
128,Eric Maxim Choupo-Moting,4.496439545321346
49,Nuno da Costa,4.461178653484367
72,Edin Džeko,4.4558504607035205
216,Alexander Sørloth,4.441590601407356
205,André Silva,4.33532671899696
187,Renaud Ripart,4.316257363808704
78,João Félix,4.313021422646472
163,Karim Onisiwo,4.283761653493045
51,Moanes Dabbur,4.271094418257954
194,Antonio Sanabria,4.246059292689863
191,Wesley Saïd,4.2416570613026785
210,Dominic Solanke,4.239915585448312
87,Kévin Gameiro,4.237653525632897
122,Omar Marmoush,4.219755931431669
90,Olivier Giroud,4.205261295488795
3,Sargis Adamyan,4.177180716362723
6,Mohamed Ali Cho,4.1476703480119514
1,Tammy Abraham,4.092982911284252
160,M'Bala Nzola,4.083048142597622
135,Aleksandar Mitrović,4.078235808256446
74,Hugo Ekitike,3.938788837776935
104,Joselu,3.925133948615897
148,Vedat Muriqi,3.875314587092441
124,Anthony Martial,3.8718961032408896
24,Eliesse Ben Seghir,3.869198361402943
140,Álvaro Morata,3.82734160466574
226,Enes Ünal,3.816012309996532
52,Patson Daka,3.7429645469615687
108,Arnaud Kalimuendo,3.729189907423958
99,Luis Javier Suárez,3.7287312755558197
185,Largie Ramazani,3.69351248755381
215,Isaac Success,3.690202019363108
143,Youssoufa Moukoko,3.633489152349288
230,Vitinha,3.629088469966481
84,Manolo Gabbiadini,3.5474986550596888
118,José Luis Morales,3.5443921882154648
155,Eddie Nketiah,3.526423977041713
137,Terem Moffi,3.5164741680778118
22,Kevin Behrens,3.5158063406480817
53,Thijs Dallinga,3.5143017645918784
138,Mostafa Mohamed,3.513598272484674
174,Andrea Petagna,3.5001304755701046
37,Sergio Camello,3.45994442451526
28,Beto,3.4357379539675716
20,Ihlas Bebou,3.399019107140533
245,Joshua Zirkzee,3.396775001872486
227,Deniz Undav,3.37082641573849
31,Rafael Borré,3.364029361052219
231,Dušan Vlahović,3.3447435552741513
129,Borja Mayoral,3.3040423465916295
95,Philipp Hofmann,3.2931643099543466
232,Kevin Volland,3.292327338804584
142,Dany Mota,3.290608134060734
79,Evan Ferguson,3.274042418750617
41,Valentín Castellanos,3.261826590272222
47,Joaquín Correa,3.227547073969384
196,Nicola Sansone,3.224190180896771
183,Yussuf Poulsen,3.223198993731111
161,David Okereke,3.214087602426625
106,Luka Jović,3.2058737562210613
244,Duván Zapata,3.163133375297667
16,Sardar Azmoun,3.1288673111762084
14,Ezequiel Ávila,3.1112245629455018
34,Ante Budimir,3.1076056591940593
2,Che Adams,3.1049837164118554
33,Martin Braithwaite,3.080386089519403
189,Cristiano Ronaldo,3.0651117850586007
115,Cyle Larin,3.0603876257964755
111,Moise Kean,3.0567182461004685
76,Youssef En-Nesyri,3.0471052138645645
50,Matheus Cunha,3.038284217191835
192,Amine Salama,3.0345442720560496
73,Odsonne Édouard,3.032678426214369
178,Krzysztof Piątek,3.0185667046864464
212,Dyego Sousa,2.989424596548714
133,Arkadiusz Milik,2.9776437370106774
11,Arthur,2.9711103021545413
15,Taiwo Awoniyi,2.9657583080322523
10,Marko Arnautović,2.8720961832425465
169,Paulinho,2.8615092321794577
59,Cyriel Dessers,2.806685844695514
120,Daniel Maldini,2.7890979251174723
242,Jonas Wind,2.7821394276225373
224,Frank Tsadjout,2.7743848076430666
206,Abdallah Sima,2.769526484920922
94,Hwang Hee-chan,2.763255921746737
167,Mikel Oyarzabal,2.7613122218831068
105,Stevan Jovetić,2.7563526435258825
121,Sekou Mara,2.7474291325649323
132,Sven Michel,2.739722846233776
158,Randy Ntekja,2.721860597297632
144,Steve Mounié,2.7174961657651466
8,Komnen Andrić,2.7030323015662283
221,Steffen Tigges,2.701448534091775
88,Ignatius Ganago,2.700035655843123
213,Jørgen Strand Larsen,2.6847769758315625
222,Raúl de Tomás,2.6583412660486743
82,Michael Frey,2.6521426917298774
9,Michail Antonio,2.6444562519547206
18,Patrick Bamford,2.640379755943127
190,Georginio Rutter,2.6314156707561698
203,Antoine Semenyo,2.617699975253336
219,Florian Thauvin,2.6102888547269334
29,El Bilal Touré,2.6092592150266967
45,Lorenzo Colombo,2.6021287215333753
65,Bamba Dieng,2.581756857031827
27,Mergim Berisha,2.554635922206353
168,Gonçalo Paciência,2.5404706309805283
38,Thomas Cannon,2.4208796848767906
70,Jhon Durán,2.397566898490194
58,Moussa Dembélé,2.3829329924590357
165,Divock Origi,2.377245143178002
177,Maximilian Philipp,2.363180828870859
112,Kike,2.350669382670503
5,Ludovic Ajorque,2.3398765447010037
23,Andrea Belotti,2.337748128866346
181,Sebastian Polter,2.3111716606929456
107,Tino Kadewere,2.3004932346791125
218,Simon Terodde,2.28786634280447
0,Matthis Abline,2.267625512961815
186,Chris Ramos,2.267051416819895
80,Carlos Fernández,2.2438798996883196
236,Wout Weghorst,2.2410089648870954
134,Rafa Mir,2.2384446618502842
204,Eldor Shomurodov,2.227795029665992
197,Amin Sarr,2.2000645502392047
180,Andrea Pinamonti,2.1999935422985475
170,Jordan Pefok,2.1593579817728603
200,Patrik Schick,2.1289654282130983
157,Lukas Nmecha,2.122809149351514
199,Gianluca Scamacca,2.100424217757202
171,Pietro Pellegri,2.09205207293358
154,Florian Niederlechner,2.0884131851084495
184,Fabio Quagliarella,2.0702402215760785
89,Joe Gelhardt,2.0677526970357496
57,Andy Delort,2.052458800202276
43,Assan Ceesay,2.0521366658142837
145,Bevic Moussiti-Oko,2.0248901055124895
30,Federico Bonazzoli,2.016866428660064
149,Álvaro Negredo,1.9767733025807648
100,Fredrik Jensen,1.9300376541368798
162,Ado Onaiwu,1.9257065092166172
102,Raúl Jiménez,1.9081798609142429
182,Ezequiel Ponce,1.9063464729883588
214,Cristhian Stuani,1.9053837526396498
66,Lois Diony,1.8979216373977355
198,Martin Satriano,1.8967877683661392
234,Luca Waldschmidt,1.8408696042958297
77,Radamel Falcao,1.8364205409976977
13,Pierre-Emerick Aubameyang,1.8291842948867245
229,Carlos Vinícius,1.8278089247739935
40,Irvin Cardona,1.8263481557463166
126,Jean-Philippe Mateta,1.8230543655585103
202,Davie Selke,1.8170069265271462
153,M'Baye Niang,1.7750275413643033
103,Willian José,1.7724945581899156
85,Adolfo Gaich,1.7723903841902782
228,Jamie Vardy,1.767084327405235
127,Neal Maupay,1.7264954121877603
150,Ilija Nestorovski,1.7252620992529641
44,Daniel Ciofani,1.708032322137201
173,Lucas Pérez,1.6959784931124189
172,Ricardo Pepi,1.6865352629251966
56,Grégoire Defrel,1.6831412015399088
42,Edinson Cavani,1.6473263998225254
68,Dion Drena Beljo,1.6442394286331665
175,Nils Petersen,1.64037653706286
54,Arnaut Danjuma,1.6248687114577687
35,Dominic Calvert-Lewin,1.6221552035100189
208,Ellis Simms,1.5675773008963145
151,Jessic Ngankam,1.5638692749542797
201,Haris Seferović,1.5508297043991954
139,Kieffer Moore,1.544981804091756
246,Milan Đurić,1.5343990927866198
71,Hugo Duro,1.5092758328795566
209,Islam Slimani,1.4859761285601052
152,Ibrahima Niane,1.4470530513871647
117,Anthony Lozano,1.4165384390413753
48,Diego Costa,1.3441279308784626
39,Francesco Caputo,1.3225425046388373
110,Wilfried Kanga,1.2873015363070732
67,Kasper Dolberg,1.27611758418686
123,Roger Martí,1.1588062206913223
136,Anthony Modeste,1.0535898653953322
4,Felix Afena-Gyan,1.03431997590901
176,Luca Pfeiffer,0.9908859740833553
179,Roberto Piccoli,0.9602069515429035
225,Ike Ugbo,0.8003929169690536
60,Mattia Destro,0.7234737180871917
243,Chris Wood,0.5741401610859977
237,Shon Weissman,0.3757375789538271
211,Moussa Soumano,-0.027215736007557556
