,player,rating,goals+assists
0,Matthis Abline,2.946987729189686,3.15
1,Erling Haaland,4.076347105569588,37.576
2,Kai Havertz,5.990596960867421,6.555
3,Steffen Tigges,2.7094192446640957,7.08
4,Ollie Watkins,3.7854885066694,19.779000000000003
5,Assan Ceesay,2.1822586324106625,5.025
6,Boulaye Dia,3.1810643008939605,21.0
7,Haris Seferović,1.6340197218990613,3.9600000000000004
8,Federico Bonazzoli,2.631160433549567,2.9760000000000004
9,Kasper Dolberg,2.00117012438002,0.5720000000000001
10,Arthur,3.1393799664084447,6.9959999999999996
11,Simon Terodde,2.5124753295200257,5.075
12,Taiwo Awoniyi,2.2006289251407716,10.92
13,Jonas Wind,3.0982736967374507,6.006
14,Lionel Messi,10.065988264181119,32.76
15,Shon Weissman,0.5092328520023979,0.996
16,Timo Werner,5.1650467614981705,12.684999999999999
17,Martin Satriano,2.418769464480448,3.0239999999999996
18,Loïs Openda,4.1381345448794535,24.080000000000002
19,Dominic Calvert-Lewin,2.2081085647633962,2.064
20,Frank Tsadjout,3.479118625911668,4.095
21,M'Bala Nzola,3.690534031128952,12.095000000000002
22,Davie Selke,2.6387214110048167,1.457
23,Ludovic Ajorque,3.183325443490848,2.7520000000000002
24,Renaud Ripart,5.648901925033674,4.998
25,Ike Ugbo,0.7218293681678872,2.97
26,Mattia Destro,1.0528537749193885,1.024
27,Álvaro Morata,3.093278942846312,12.871000000000002
28,Gerard Moreno,6.127961684697126,9.042
29,Wilfried Kanga,1.6987846512382836,2.041
30,Anthony Lozano,1.926709182237454,1.92
31,Roberto Piccoli,1.5197282424115834,0.525
32,Jørgen Strand Larsen,2.4784471674631487,7.937999999999999
33,Marko Arnautović,2.989692551331138,6.97
34,Karim Onisiwo,4.043145249031978,11.844
35,Maximilian Philipp,3.6664943959593925,0.20800000000000002
36,Antoine Semenyo,3.857378622531284,1.653
37,Alexander Sørloth,3.475003161521977,15.370000000000001
38,Jamie Vardy,1.2658691340240211,7.0040000000000004
39,Pierre-Emerick Aubameyang,2.472626528140061,2.294
40,Moussa Soumano,-0.08265862311393887,0.99
41,Antonio Sanabria,3.2419531724062853,15.119999999999997
42,Folarin Balogun,4.342715818294085,16.983
43,Hugo Ekitike,4.703490936596577,6.656000000000001
44,Jonathan David,5.608800348649432,17.952
45,Dion Drena Beljo,1.568383169391359,5.0
46,Raúl Jiménez,2.882352208141056,1.034
47,Lucas Pérez,2.1137416007716716,3.01
48,Nuno da Costa,4.943813689802105,8.920000000000002
49,Arnaud Kalimuendo,3.981973565342233,8.405
50,Marcus Thuram,5.170992729924315,18.971999999999998
51,Edin Džeko,4.422763519684549,11.520000000000001
52,Sebastian Polter,2.568423867765537,5.039999999999999
53,Krzysztof Piątek,2.9703049060753877,8.092
54,M'Baye Niang,2.2270585820369035,2.9699999999999998
55,Giovanni Simeone,5.934327116139333,5.445
56,Wissam Ben Yedder,4.997596916743452,17.625
57,El Bilal Touré,2.2892438138482065,8.26
58,Sergio Camello,3.0057156893766197,10.947
59,Irvin Cardona,2.850977632985005,0.41600000000000004
60,Eldor Shomurodov,3.063037688023323,2.52
61,Álvaro Negredo,2.56383344101522,3.024
62,Sardar Azmoun,3.958659779369108,4.635000000000001
63,Nicolò Cambiaghi,6.122446681643311,7.007000000000001
64,Wout Weghorst,3.285053273009496,1.4240000000000002
65,David Okereke,3.7246862703729398,6.048
66,Julián Álvarez,4.978677446327986,9.780000000000001
67,Komnen Andrić,2.9182943752864823,6.118
68,André Silva,4.562587284838089,10.036000000000001
69,Andy Delort,2.8086387591648916,2.436
70,Breel Embolo,4.376594584004414,14.697000000000001
71,Ante Budimir,3.1034268583920364,8.0
72,Che Adams,3.093823175310827,8.177
73,Dušan Vlahović,2.981975740829994,10.271999999999998
74,Lucas Boyé,5.683275181180755,9.042
75,Cristhian Stuani,2.154732149425067,3.993
76,Omar Marmoush,5.312388249379744,5.903999999999999
77,Andrea Belotti,3.094693882413727,2.921
78,Dyego Sousa,4.58048218178663,1.0030000000000001
79,Romelu Lukaku,4.791833741464276,15.272
80,Dany Mota,3.845201243213506,6.148
81,Dominic Solanke,3.6992613401867955,13.038
82,Joshua Zirkzee,4.516631395517057,4.004
83,Mostafa Mohamed,3.2811436689539932,9.89
84,Manolo Gabbiadini,3.523969448245475,9.17
85,Divock Origi,3.240735406133712,2.622
86,Luka Jović,3.049150860754869,9.01
87,Rasmus Højlund,4.580502817831324,11.015999999999998
88,Carlos Vinícius,1.356130984016607,7.011
89,Grégoire Defrel,2.0406886545711576,2.99
90,Tammy Abraham,3.791125181058716,11.664000000000001
91,Odsonne Édouard,3.225794734354662,7.0
92,Kevin Behrens,3.9065819642856523,7.353000000000001
93,Bevic Moussiti-Oko,3.068515469657799,1.014
94,Kévin Gameiro,4.601421903296883,9.087
95,Harry Kane,5.0497646654941315,24.948
96,Lois Diony,2.9370956788216267,1.008
97,Daniel Maldini,3.9757076716521333,2.03
98,Lautaro Martínez,5.902850284748354,23.166
99,Fredrik Jensen,2.4777867540917566,2.987
100,Chris Ramos,3.4423316433183313,1.0270000000000001
101,Enes Ünal,3.305450767812532,11.879999999999999
102,Eliesse Ben Seghir,5.094954220290001,4.563
103,Mergim Berisha,1.8613972349786247,9.911
104,Luis Javier Suárez,3.748396867494975,9.462
105,Ilija Nestorovski,2.157616398117652,2.982
106,Nicola Sansone,3.7950597195991005,5.986
107,Fabio Quagliarella,2.982876542765356,1.9580000000000002
108,Carlos Fernández,3.485625712504217,0.77
109,Duván Zapata,4.1775695564396695,4.0040000000000004
110,Darwin Núñez,5.84782022831831,13.724000000000002
